50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,1,2,11,7,7,3,2,1,2,1,6,1,9,4,18,22,45,3,37,7,30,5,28,11,13,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
69,69,69,69,69,68,68,68,69,69,69,69,69,68,69,68,69,68,68,68,69,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,69,68,69,69,68,69,68,68,69,68,68,69,68,68
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,1,2,5,8,3,2,2,9,1,1,1,1,1,3,1,1,11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,32,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,,
69,69,69,69,69,69,68,69,69,69,68,69,69,69,69,69,69,69,69,68,69,68,69,69,69,69,69,69,69,69,69,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,31,1,6,17,1,24,22,10,1,1,1,1,2,11,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,,,,,,,,,,
69,69,68,69,69,68,69,68,68,68,69,69,69,69,69,68,69,69,69,69,68,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,1,10,21,2,1,5,6,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
69,69,69,69,69,68,69,69,68,68,69,69,69,69,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,69,69,69,69,69
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,4,12,6,4,7,6,2,1,1,2,1,1,1,1,6,3,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
69,69,69,69,69,69,69,69,69,69,68,68,68,69,69,69,69,69,69,69,69,69,69,69,68,69,69,69,69,69,68,69,68,69,68,68,69,69,69,69,68,69,69,69,69,69,69,69,69,69
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4,2,11,4,1,4,6,2,1,5,4,4,5,10,10,3,15,8,22,5,6,6,1,14,19,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,
69,69,69,69,69,69,69,69,68,68,69,68,68,69,69,68,68,69,68,68,68,69,68,68,69,68,68,68,68,69,69,69,68,69,69,69,68,68,68,68,69,68,69,69,68,68,69,68,69,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,4,1,12,1,2,6,1,2,1,1,1,1,3,1,1,4,2,1,1,2,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,
69,68,69,69,68,69,69,68,69,69,69,69,69,69,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,1,6,31,15,1,2,6,2,5,6,4,25,6,3,10,2,7,40,2,3,4,6,4,17,2,8,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
68,68,69,68,68,68,69,69,68,69,68,68,68,68,69,69,68,69,69,68,69,69,68,68,69,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,68,68,68,69,69,69,68,69,69,69
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1,1,1,1,1,4,1,1,1,4,1,3,13,3,1,2,3,2,1,1,5,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,69,69
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3,1,19,1,2,3,1,7,5,6,7,3,2,5,18,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,,,,,,,,,,
69,69,69,69,68,69,69,69,68,68,68,68,68,68,69,69,68,68,68,69,69,69,69,68,68,68,68,68,68,68,68,68,68,68,69,68,68,68,69,68,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,1,1,14,2,1,3,1,9,1,1,1,4,9,1,2,8,12,4,2,7,13,3,2,21,3,16,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
68,69,69,69,68,69,69,69,69,68,69,69,69,69,68,69,69,68,68,69,69,69,68,69,69,68,69,68,68,69,69,68,69,69,69,69,68,69,68,68,68,68,68,69,69,68,68,69,68,69
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,2,1,1,4,2,3,1,3,3,37,14,16,18,9,7,4,6,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,38,39,40,41,42,43,44,45,46,47,58,59,60,61,62,63,64,65,66,67,,,,,,,,,,,,,,,,,,,,
69,69,69,69,69,69,69,69,69,69,69,68,68,68,68,68,69,69,69,68,68,68,69,68,69,68,68,69,69,68,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,2,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,68,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,1,16,12,3,1,3,5,1,5,6,9,15,1,8,3,3,14,1,1,1,6,1,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
69,68,68,69,68,68,69,69,69,68,69,68,68,68,68,69,68,69,69,68,69,69,68,68,69,69,69,69,69,69,69,68,69,68,68,68,68,68,69,69,68,69,69,69,69,69,69,69,69,69
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,14,2,41,9,10,5,2,15,5,2,2,9,9,12,3,3,7,6,10,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,43,46,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,
