562,arithmetic_word_problems_1,2.857142857
491,parts_of_circles,2.428571429
180,perimeter_of_squares_and_rectangles,2.285714286
783,solving_quadratics_by_taking_the_square_root,3.307692308
803,completing_the_square_1,3.307692308
45,graphing_parabolas_1,4.846153846
719,addition_2,1.076923077
521,parabola_intuition_3,6.307692308
847,triangle_angles_sum,4.545454545
638,angle_addition_postulate,7.0
778,vertical_angles,3.272727273
705,representing_numbers,2.454545455
44,solving_quadratics_by_factoring,5.222222222
688,angle_bisector_theorem,5.333333333
712,factoring_polynomials_1,5.111111111
847,triangle_angles_sum,1.777777778
803,completing_the_square_1,4.555555556
89,multiplying_polynomials,4.0
679,multiplying_expressions_1,3.444444444
775,functions_1,5.9
552,graphing_points,3.0
422,interpreting_linear_equations,4.6
721,identifying_points_1,3.5
626,linear_equations_1,4.6
552,graphing_points,3.222222222
422,interpreting_linear_equations,7.0
466,slope_of_a_line,8.0
729,graphing_points_2,4.444444444
626,linear_equations_1,7.0
798,dividing_decimals_1,4.714285714
210,dividing_decimals,6.857142857
282,division_4,5.0
356,dividing_decimals_0.5,3.714285714
823,average_word_problems,2.818181818
372,mean_median_and_mode,2.0
727,order_of_operations,2.818181818
544,exploring_mean_and_median,4.363636364
355,place_value,1.666666667
544,exploring_mean_and_median,4.666666667
387,telling_time_comparing,3.444444444
372,mean_median_and_mode,2.555555556
459,reading_tables_2,3.555555556
378,variance,7.111111111
428,rounding_whole_numbers,4.0
151,metric_weight_unit_conversion,3.6
517,rounding_numbers,3.5
194,metric_area_unit_conversion,4.5
347,multiplying_mixed_numbers_1,4.888888889
179,arithmetic_word_problems_2,5.0
261,multiplying_fractions,4.111111111
122,multiplying_fractions_0.5,3.0
431,simplifying_fractions,1.888888889
213,congruent_angles,3.111111111
271,volume_box_cover,6.285714286
415,volume_box,5.285714286
357,area_of_squares_and_rectangles,1.571428571
286,same_side_exterior_angles_2,5.285714286
143,area_of_triangles_1,2.428571429
222,volume_space,5.571428571
629,solutions_to_systems_of_equations,5.333333333
85,graphing_systems_of_equations,6.111111111
708,systems_of_equations_word_problems,7.333333333
178,similar_triangles_review,3.333333333
295,exponents_1,3.333333333
342,systems_of_equations,4.666666667
130,graphing_linear_equations,5.111111111
293,logical_arguments_deductive_reasoning,5.818181818
822,axis_of_symmetry,3.545454545
82,judging_axis_of_symmetry,3.727272727
264,similar_triangles_1,5.636363636
621,adding_decimals,7.0
550,adding_decimals_2,7.0
824,division_3,7.583333333
188,hundred_million_adding_and_subtracting,7.166666667
91,creating_bar_charts_1,5.846153846
379,reading_stem_and_leaf_plots,6.615384615
208,reading_tables_1,5.076923077
451,logarithms_2,7.923076923
